"ppt","type","trialNo","subjectGroup","condition1","title","content","trialText","head","stimFormat","pageBreak","stim1","stim2","key","ITI","ISI","presTime","random","randomBlock","feedbackIncorrect","feedbackCorrect","button1","button2","keyboard","responseType","responseOptions","orderPres","orderFile","timestamp","response","RT","correct","responseCode"
"AAIRLZFZJQOC","test",7,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B6","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",18,7,205940,1,1728,1,NA
"AAIRLZFZJQOC","test",1,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B1","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",19,51,419742,7,9034,0,NA
"AAIRLZFZJQOC","test",7,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B7","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",20,57,426734,6,6384,0,NA
"AAIRLZFZJQOC","test",2,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B2","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",21,52,430557,7,3297,0,NA
"AAIRLZFZJQOC","test",3,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B3","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",22,53,433152,7,2069,0,NA
"AAIRLZFZJQOC","test",15,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M7","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",23,65,436938,5,3258,0,NA
"AAIRLZFZJQOC","test",5,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B5","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",24,55,440192,6,2727,0,NA
"AAIRLZFZJQOC","test",13,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M5","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",25,63,442764,4,2047,0,NA
"AAIRLZFZJQOC","test",12,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M4","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",26,62,445651,4,2362,0,NA
"AAIRLZFZJQOC","test",6,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B6","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",27,56,448233,5,2056,0,NA
"AAIRLZFZJQOC","test",14,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M6","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",28,64,449907,4,1149,0,NA
"AAIRLZFZJQOC","test",11,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M3","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",29,61,453049,4,2618,0,NA
"AAIRLZFZJQOC","test",4,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B4","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",30,54,455342,6,1767,0,NA
"AAIRLZFZJQOC","test",16,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M8","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",31,66,457624,3,1757,0,NA
"AAIRLZFZJQOC","test",8,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B8","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",32,58,460599,5,2451,0,NA
"AAIRLZFZJQOC","test",9,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M1","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",33,59,465154,3,4029,0,NA
"AAIRLZFZJQOC","test",10,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M2","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",34,60,467029,3,1349,0,NA
"AAIRLZFZJQOC","test",13,0,"RWA","na","na","Facts show that we have to be harder against crime and sexual immorality in order to uphold law and order.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",35,95,480209,7,7329,0,NA
"AAIRLZFZJQOC","test",14,0,"RWA","na","na","The situation in the society of today would be improved if troublemakers were treated with reason and humanity.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",36,96,487586,2,6854,0,NA
"AAIRLZFZJQOC","test",2,0,"RWA","na","na","Our country needs free thinkers who will have the courage to stand up against traditional ways even if this upsets many people.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",37,84,491855,7,3747,0,NA
"AAIRLZFZJQOC","test",8,0,"RWA","na","na","Many good people challenge the state criticize the church and ignore the normal way of living.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",38,90,500201,5,7824,0,NA
"AAIRLZFZJQOC","test",12,0,"RWA","na","na","It is better to accept bad literature than to censor it.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",39,94,505287,5,4565,0,NA
"AAIRLZFZJQOC","test",11,0,"RWA","na","na","There are many radical immoral people trying to ruin things the society ought to stop them.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",40,93,512998,4,7190,0,NA
"AAIRLZFZJQOC","test",5,0,"RWA","na","na","Gods laws about abortion pornography and marriage must be strictly followed before it is too late violations must be punished.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",41,87,518793,1,5277,0,NA
"AAIRLZFZJQOC","test",7,0,"RWA","na","na","It would be best if newspapers were censored so that people would not be able to get hold of destructive and disgusting material.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",42,89,523857,2,4544,0,NA
"AAIRLZFZJQOC","test",6,0,"RWA","na","na","The society needs to show openness towards people thinking differently rather than a strong leader the world is not particularly evil or dangerous.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",43,88,535658,5,11280,0,NA
"AAIRLZFZJQOC","test",10,0,"RWA","na","na","People ought to put less attention to the Bible and religion instead they ought to develop their own moral standards.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",44,92,540226,7,4047,0,NA
"AAIRLZFZJQOC","test",15,0,"RWA","na","na","If the society so wants it is the duty of every true citizen to help eliminate the evil that poisons our country from within.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",45,97,546059,4,5314,0,NA
"AAIRLZFZJQOC","test",1,0,"RWA","na","na","Our country needs a powerful leader in order to destroy the radical and immoral currents prevailing in society today.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",46,83,551341,4,4761,0,NA
"AAIRLZFZJQOC","test",9,0,"RWA","na","na","Our forefathers ought to be honored more for the way they have built our society at the same time we ought to put an end to those forces destroying it.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",47,91,559225,3,7361,0,NA
"AAIRLZFZJQOC","test",4,0,"RWA","na","na","Our society would be better off if we showed tolerance and understanding for untraditional values and opinions.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",48,86,565549,6,5804,0,NA
"AAIRLZFZJQOC","test",3,0,"RWA","na","na","The old-fashioned ways and old-fashioned values still show the best way to live.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",49,85,569176,1,3106,0,NA
"AAIRLZFZJQOC","form",5,0,"SECS","na","na","na","Welfare benefits","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,579883,80,5575,0,NA
"AAIRLZFZJQOC","form",7,0,"SECS","na","na","na","Traditional marriage","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,584390,50,3691,0,NA
"AAIRLZFZJQOC","form",11,0,"SECS","na","na","na","The family unit","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,588791,65,3613,0,NA
"AAIRLZFZJQOC","form",4,0,"SECS","na","na","na","Religion","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,592080,0,2682,0,NA
"AAIRLZFZJQOC","form",2,0,"SECS","na","na","na","Limited government","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,596352,45,3572,0,NA
"AAIRLZFZJQOC","form",10,0,"SECS","na","na","na","Business","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,600111,55,3164,0,NA
"AAIRLZFZJQOC","form",6,0,"SECS","na","na","na","Gun ownership","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,603170,0,2464,0,NA
"AAIRLZFZJQOC","form",9,0,"SECS","na","na","na","Fiscal responsibility","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,607832,60,4060,0,NA
"AAIRLZFZJQOC","form",12,0,"SECS","na","na","na","Patriotism","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,612859,50,4366,0,NA
"AAIRLZFZJQOC","form",3,0,"SECS","na","na","na","Military and national security","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,619499,65,5989,0,NA
"AAIRLZFZJQOC","form",8,0,"SECS","na","na","na","Traditional values","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,624337,25,4003,0,NA
"AAIRLZFZJQOC","form",1,0,"SECS","na","na","na","Abortion","word","1","na","na","na",500,"na","na","15","na","na","na","na","na","na","slider","0_100_5",NA,NA,628861,50,3925,0,NA
"AATCBFXQNFEX","test",1,0,"apprentissage","na","na","Watch carefully these two families","na",".jpg","na","learn02","na","na",500,"na","na","na","na","na","na","NEXT","na","na","na","na",1,1,95933,1,17721,0,NA
"AATCBFXQNFEX","test",16,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M6","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",2,16,98572,2,2131,1,NA
"AATCBFXQNFEX","test",6,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B5","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",3,6,102168,1,1510,1,NA
"AATCBFXQNFEX","test",17,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M7","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",4,17,105454,2,1568,1,NA
"AATCBFXQNFEX","test",4,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B3","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",5,4,108808,1,1736,1,NA
"AATCBFXQNFEX","test",8,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B7","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",6,8,112990,1,2118,1,NA
"AATCBFXQNFEX","test",18,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M8","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",7,18,116151,2,1463,1,NA
"AATCBFXQNFEX","test",11,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M2","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",8,11,121037,2,3357,1,NA
"AATCBFXQNFEX","test",14,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M5","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",9,14,124780,2,2214,1,NA
"AATCBFXQNFEX","test",3,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B2","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",10,3,127755,1,1340,1,NA
"AATCBFXQNFEX","test",13,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M4","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",11,13,131380,2,1818,1,NA
"AATCBFXQNFEX","test",2,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B1","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",12,2,138416,1,5494,1,NA
"AATCBFXQNFEX","test",7,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B6","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",13,7,148064,2,7911,0,NA
"AATCBFXQNFEX","test",9,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B8","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",14,9,151667,1,1447,1,NA
"AATCBFXQNFEX","test",5,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B4","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",15,5,154701,1,1416,1,NA
"AATCBFXQNFEX","test",12,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M3","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",16,12,157803,2,1596,1,NA
"AATCBFXQNFEX","test",10,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M1","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",17,10,160750,2,1276,1,NA
"AATCBFXQNFEX","test",15,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M5","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",18,15,164156,2,1966,1,NA
"AATCBFXQNFEX","test",3,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B3","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",19,53,371842,5,2208,0,NA
"AATCBFXQNFEX","test",6,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B6","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",20,56,374721,5,2370,0,NA
"AATCBFXQNFEX","test",14,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M6","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",21,64,375769,5,541,0,NA
"AATCBFXQNFEX","test",12,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M4","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",22,62,376714,5,436,0,NA
"AATCBFXQNFEX","test",5,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B5","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",23,55,377914,5,694,0,NA
"AATCBFXQNFEX","test",4,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B4","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",24,54,378922,5,497,0,NA
"AATCBFXQNFEX","test",10,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M2","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",25,60,379884,5,455,0,NA
"AATCBFXQNFEX","test",8,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B8","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",26,58,380866,5,476,0,NA
"AATCBFXQNFEX","test",13,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M5","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",27,63,382082,5,708,0,NA
"AATCBFXQNFEX","test",2,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B2","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",28,52,383178,5,590,0,NA
"AATCBFXQNFEX","test",15,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M7","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",29,65,384090,5,404,0,NA
"AATCBFXQNFEX","test",9,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M1","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",30,59,385058,5,462,0,NA
"AATCBFXQNFEX","test",16,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M8","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",31,66,386002,5,433,0,NA
"AATCBFXQNFEX","test",1,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B1","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",32,51,387018,5,510,0,NA
"AATCBFXQNFEX","test",7,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","B7","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",33,57,388018,5,494,0,NA
"AATCBFXQNFEX","test",11,2,"ratings2","na","na","Your general feelings about this member are:<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positive","na",".jpg","na","M3","na","na",500,"na","na","12","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",34,61,389202,5,677,0,NA
"AATCBFXQNFEX","test",14,0,"RWA","na","na","The situation in the society of today would be improved if troublemakers were treated with reason and humanity.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",35,96,405855,6,9168,0,NA
"AATCBFXQNFEX","test",8,0,"RWA","na","na","Many good people challenge the state criticize the church and ignore the normal way of living.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na",500,"na","na","14","na","na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",36,90,415706,6,9343,0,NA
